mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svm__C,param_svm__gamma,param_svm__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.1249872684478759,0.039583069704948966,0.1972189426422119,0.028736905299989093,0.1,0.1,rbf,"{'svm__C': 0.1, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.8065953654188949,0.8065953654188949,0.8065953654188949,0.8057040998217468,0.8064228367528992,0.8063826065662661,0.00034577127075290223,23
0.9437968730926514,0.03396915851422477,0.16583638191223143,0.013838284030194901,0.1,0.1,linear,"{'svm__C': 0.1, 'svm__gamma': 0.1, 'svm__kernel': 'linear'}",0.8484848484848485,0.85650623885918,0.8413547237076648,0.8467023172905526,0.848349687778769,0.8482795632242031,0.004861406351243239,19
1.2440282344818114,0.03998830925277639,0.19729342460632324,0.020815036533300538,0.1,0.01,rbf,"{'svm__C': 0.1, 'svm__gamma': 0.01, 'svm__kernel': 'rbf'}",0.8065953654188949,0.8065953654188949,0.8065953654188949,0.8057040998217468,0.8064228367528992,0.8063826065662661,0.00034577127075290223,23
0.9353241443634033,0.03003716433570087,0.13385043144226075,0.008841457853319365,0.1,0.01,linear,"{'svm__C': 0.1, 'svm__gamma': 0.01, 'svm__kernel': 'linear'}",0.8484848484848485,0.85650623885918,0.8413547237076648,0.8467023172905526,0.848349687778769,0.8482795632242031,0.004861406351243239,19
1.096827459335327,0.04687709187442286,0.20958809852600097,0.014521688411204773,0.1,0.001,rbf,"{'svm__C': 0.1, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",0.8065953654188949,0.8065953654188949,0.8065953654188949,0.8057040998217468,0.8064228367528992,0.8063826065662661,0.00034577127075290223,23
1.0356515407562257,0.06069617553738475,0.14940423965454103,0.018123646915963892,0.1,0.001,linear,"{'svm__C': 0.1, 'svm__gamma': 0.001, 'svm__kernel': 'linear'}",0.8484848484848485,0.85650623885918,0.8413547237076648,0.8467023172905526,0.848349687778769,0.8482795632242031,0.004861406351243239,19
0.8714218139648438,0.06058963510627374,0.16427807807922362,0.0073581973323834675,0.1,0.0001,rbf,"{'svm__C': 0.1, 'svm__gamma': 0.0001, 'svm__kernel': 'rbf'}",0.8065953654188949,0.8065953654188949,0.8065953654188949,0.8057040998217468,0.8064228367528992,0.8063826065662661,0.00034577127075290223,23
0.9220903396606446,0.027635599402568947,0.1497635841369629,0.011123982912325461,0.1,0.0001,linear,"{'svm__C': 0.1, 'svm__gamma': 0.0001, 'svm__kernel': 'linear'}",0.8484848484848485,0.85650623885918,0.8413547237076648,0.8467023172905526,0.848349687778769,0.8482795632242031,0.004861406351243239,19
1.166948175430298,0.033965554769541634,0.2043355941772461,0.025135564734649906,1,0.1,rbf,"{'svm__C': 1, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.8618538324420677,0.8689839572192514,0.8547237076648841,0.8591800356506238,0.8599464763603925,0.8609376018674441,0.004653324894121987,14
0.9836992263793946,0.09065492635622374,0.12117671966552734,0.006329700050937887,1,0.1,linear,"{'svm__C': 1, 'svm__gamma': 0.1, 'svm__kernel': 'linear'}",0.8841354723707665,0.8832442067736186,0.8725490196078431,0.875222816399287,0.8867082961641392,0.880371962263131,0.005482245143705812,2
1.1610638618469238,0.02422120722901078,0.21375713348388672,0.019398939816896534,1,0.01,rbf,"{'svm__C': 1, 'svm__gamma': 0.01, 'svm__kernel': 'rbf'}",0.8065953654188949,0.8065953654188949,0.8065953654188949,0.8057040998217468,0.8064228367528992,0.8063826065662661,0.00034577127075290223,23
1.026759958267212,0.023467996628129387,0.13552684783935548,0.017210864953375576,1,0.01,linear,"{'svm__C': 1, 'svm__gamma': 0.01, 'svm__kernel': 'linear'}",0.8841354723707665,0.8832442067736186,0.8725490196078431,0.875222816399287,0.8867082961641392,0.880371962263131,0.005482245143705812,2
1.0989469528198241,0.02962955591142584,0.18615946769714356,0.007637934169629141,1,0.001,rbf,"{'svm__C': 1, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",0.8065953654188949,0.8065953654188949,0.8065953654188949,0.8057040998217468,0.8064228367528992,0.8063826065662661,0.00034577127075290223,23
0.9942944526672364,0.020689990740471453,0.12946863174438478,0.018228179964161578,1,0.001,linear,"{'svm__C': 1, 'svm__gamma': 0.001, 'svm__kernel': 'linear'}",0.8841354723707665,0.8832442067736186,0.8725490196078431,0.875222816399287,0.8867082961641392,0.880371962263131,0.005482245143705812,2
1.1973119735717774,0.056995325065523184,0.20087318420410155,0.02343125757837785,1,0.0001,rbf,"{'svm__C': 1, 'svm__gamma': 0.0001, 'svm__kernel': 'rbf'}",0.8065953654188949,0.8065953654188949,0.8065953654188949,0.8057040998217468,0.8064228367528992,0.8063826065662661,0.00034577127075290223,23
0.9740922927856446,0.041280139547142804,0.12647242546081544,0.009445342097014139,1,0.0001,linear,"{'svm__C': 1, 'svm__gamma': 0.0001, 'svm__kernel': 'linear'}",0.8841354723707665,0.8832442067736186,0.8725490196078431,0.875222816399287,0.8867082961641392,0.880371962263131,0.005482245143705812,2
1.2784605979919434,0.056592941236891306,0.19615654945373534,0.005127273113902997,10,0.1,rbf,"{'svm__C': 10, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.8787878787878788,0.8832442067736186,0.8734402852049911,0.8743315508021391,0.8956289027653881,0.8810865648668031,0.008068640226513477,1
1.874385929107666,0.35975505969390337,0.11801733970642089,0.010737994628001365,10,0.1,linear,"{'svm__C': 10, 'svm__gamma': 0.1, 'svm__kernel': 'linear'}",0.8582887700534759,0.8734402852049911,0.8582887700534759,0.8663101604278075,0.8760035682426405,0.8664663107964781,0.007394110180265513,8
1.163468885421753,0.07841289113363958,0.22054953575134278,0.03634784903447026,10,0.01,rbf,"{'svm__C': 10, 'svm__gamma': 0.01, 'svm__kernel': 'rbf'}",0.8663101604278075,0.8725490196078431,0.8591800356506238,0.8591800356506238,0.8608385370205174,0.8636115576714831,0.005179326231735741,13
2.714066219329834,0.549852373800831,0.12935171127319336,0.01183430446230414,10,0.01,linear,"{'svm__C': 10, 'svm__gamma': 0.01, 'svm__kernel': 'linear'}",0.8582887700534759,0.8734402852049911,0.8582887700534759,0.8663101604278075,0.8760035682426405,0.8664663107964781,0.007394110180265513,8
1.4762625217437744,0.14600834066030435,0.3054976463317871,0.03687348804859517,10,0.001,rbf,"{'svm__C': 10, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",0.8065953654188949,0.8065953654188949,0.8065953654188949,0.8057040998217468,0.8064228367528992,0.8063826065662661,0.00034577127075290223,23
3.5439898014068603,0.4560868257813377,0.24987263679504396,0.04237520161615063,10,0.001,linear,"{'svm__C': 10, 'svm__gamma': 0.001, 'svm__kernel': 'linear'}",0.8582887700534759,0.8734402852049911,0.8582887700534759,0.8663101604278075,0.8760035682426405,0.8664663107964781,0.007394110180265513,8
2.6038251399993895,0.5045625885845388,0.269535493850708,0.06440324804451522,10,0.0001,rbf,"{'svm__C': 10, 'svm__gamma': 0.0001, 'svm__kernel': 'rbf'}",0.8065953654188949,0.8065953654188949,0.8065953654188949,0.8057040998217468,0.8064228367528992,0.8063826065662661,0.00034577127075290223,23
2.5705633640289305,0.7580691011816274,0.15271420478820802,0.02716040667477609,10,0.0001,linear,"{'svm__C': 10, 'svm__gamma': 0.0001, 'svm__kernel': 'linear'}",0.8582887700534759,0.8734402852049911,0.8582887700534759,0.8663101604278075,0.8760035682426405,0.8664663107964781,0.007394110180265513,8
2.0004722118377685,0.13709956132074816,0.2111422061920166,0.014085408552373526,100,0.1,rbf,"{'svm__C': 100, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.8627450980392157,0.8814616755793226,0.8636363636363636,0.8582887700534759,0.8876003568242641,0.8707464528265284,0.011564073550487716,7
20.875708150863648,12.71825875111223,0.11802916526794434,0.01721467084149356,100,0.1,linear,"{'svm__C': 100, 'svm__gamma': 0.1, 'svm__kernel': 'linear'}",0.8493761140819964,0.8547237076648841,0.8484848484848485,0.8440285204991087,0.8751115075825157,0.8543449396626708,0.010925678093289187,15
1.8374151706695556,0.7016682045933246,0.34069023132324217,0.08448477316494402,100,0.01,rbf,"{'svm__C': 100, 'svm__gamma': 0.01, 'svm__kernel': 'rbf'}",0.8770053475935828,0.8761140819964349,0.8707664884135472,0.875222816399287,0.8956289027653881,0.878947527433648,0.008612451802745932,6
16.864274501800537,10.996395619590391,0.10742559432983398,0.011255647838903333,100,0.01,linear,"{'svm__C': 100, 'svm__gamma': 0.01, 'svm__kernel': 'linear'}",0.8493761140819964,0.8547237076648841,0.8484848484848485,0.8440285204991087,0.8751115075825157,0.8543449396626708,0.010925678093289187,15
1.0966218948364257,0.09691890787299025,0.18008456230163575,0.01623440409871818,100,0.001,rbf,"{'svm__C': 100, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",0.8672014260249554,0.8725490196078431,0.8591800356506238,0.8591800356506238,0.8617305976806423,0.8639682229229377,0.005195076813311536,12
17.33017244338989,11.410489979414775,0.11106786727905274,0.009715450810044112,100,0.001,linear,"{'svm__C': 100, 'svm__gamma': 0.001, 'svm__kernel': 'linear'}",0.8493761140819964,0.8547237076648841,0.8484848484848485,0.8440285204991087,0.8751115075825157,0.8543449396626708,0.010925678093289187,15
1.2342458724975587,0.1819240467183188,0.20356535911560059,0.031251559847074575,100,0.0001,rbf,"{'svm__C': 100, 'svm__gamma': 0.0001, 'svm__kernel': 'rbf'}",0.8065953654188949,0.8065953654188949,0.8065953654188949,0.8057040998217468,0.8064228367528992,0.8063826065662661,0.00034577127075290223,23
16.837090921401977,10.37180965970387,0.09688138961791992,0.01215026881647396,100,0.0001,linear,"{'svm__C': 100, 'svm__gamma': 0.0001, 'svm__kernel': 'linear'}",0.8493761140819964,0.8547237076648841,0.8484848484848485,0.8440285204991087,0.8751115075825157,0.8543449396626708,0.010925678093289187,15
