mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__penalty,param_tfidf__max_df,param_tfidf__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.08135557174682617,0.018386229698696716,0.0,0.0,0.1,l1,0.25,"(1, 1)","{'clf__C': 0.1, 'clf__penalty': 'l1', 'tfidf__max_df': 0.25, 'tfidf__ngram_range': (1, 1)}",,,,,,,,19
0.1410968780517578,0.009726418813136031,0.0,0.0,0.1,l1,0.25,"(1, 2)","{'clf__C': 0.1, 'clf__penalty': 'l1', 'tfidf__max_df': 0.25, 'tfidf__ngram_range': (1, 2)}",,,,,,,,19
0.08173575401306152,0.022202905756160143,0.0,0.0,0.1,l1,0.5,"(1, 1)","{'clf__C': 0.1, 'clf__penalty': 'l1', 'tfidf__max_df': 0.5, 'tfidf__ngram_range': (1, 1)}",,,,,,,,19
0.1406930923461914,0.02438563752654133,0.0,0.0,0.1,l1,0.5,"(1, 2)","{'clf__C': 0.1, 'clf__penalty': 'l1', 'tfidf__max_df': 0.5, 'tfidf__ngram_range': (1, 2)}",,,,,,,,19
0.0687436580657959,0.007665869766336632,0.0,0.0,0.1,l1,0.75,"(1, 1)","{'clf__C': 0.1, 'clf__penalty': 'l1', 'tfidf__max_df': 0.75, 'tfidf__ngram_range': (1, 1)}",,,,,,,,19
0.13704190254211426,0.011615395941354011,0.0,0.0,0.1,l1,0.75,"(1, 2)","{'clf__C': 0.1, 'clf__penalty': 'l1', 'tfidf__max_df': 0.75, 'tfidf__ngram_range': (1, 2)}",,,,,,,,19
0.1253648281097412,0.009901689990735322,0.015496540069580077,0.0002379141908186945,0.1,l2,0.25,"(1, 1)","{'clf__C': 0.1, 'clf__penalty': 'l2', 'tfidf__max_df': 0.25, 'tfidf__ngram_range': (1, 1)}",0.8253119429590018,0.8279857397504456,0.8181818181818182,0.82174688057041,0.8305084745762712,0.8247469712075894,0.004384187813141782,13
0.25054473876953126,0.010307374022201643,0.030196189880371094,0.0029252124027714845,0.1,l2,0.25,"(1, 2)","{'clf__C': 0.1, 'clf__penalty': 'l2', 'tfidf__max_df': 0.25, 'tfidf__ngram_range': (1, 2)}",0.8092691622103387,0.8119429590017825,0.8101604278074866,0.8092691622103387,0.8117752007136485,0.8104833823887189,0.0011706510512305634,16
0.12738413810729982,0.01636583216441876,0.019390964508056642,0.0026587881584543985,0.1,l2,0.5,"(1, 1)","{'clf__C': 0.1, 'clf__penalty': 'l2', 'tfidf__max_df': 0.5, 'tfidf__ngram_range': (1, 1)}",0.8253119429590018,0.8279857397504456,0.8181818181818182,0.82174688057041,0.8305084745762712,0.8247469712075894,0.004384187813141782,13
0.23676033020019532,0.007820144546308028,0.03013167381286621,0.008077528382725503,0.1,l2,0.5,"(1, 2)","{'clf__C': 0.1, 'clf__penalty': 'l2', 'tfidf__max_df': 0.5, 'tfidf__ngram_range': (1, 2)}",0.8092691622103387,0.8119429590017825,0.8101604278074866,0.8092691622103387,0.8117752007136485,0.8104833823887189,0.0011706510512305634,16
0.11614623069763183,0.007883881705969376,0.018112564086914064,0.0024231843530904923,0.1,l2,0.75,"(1, 1)","{'clf__C': 0.1, 'clf__penalty': 'l2', 'tfidf__max_df': 0.75, 'tfidf__ngram_range': (1, 1)}",0.8253119429590018,0.8279857397504456,0.8181818181818182,0.82174688057041,0.8305084745762712,0.8247469712075894,0.004384187813141782,13
0.22531371116638182,0.015496686879284778,0.024143457412719727,0.003617676000666525,0.1,l2,0.75,"(1, 2)","{'clf__C': 0.1, 'clf__penalty': 'l2', 'tfidf__max_df': 0.75, 'tfidf__ngram_range': (1, 2)}",0.8092691622103387,0.8119429590017825,0.8101604278074866,0.8092691622103387,0.8117752007136485,0.8104833823887189,0.0011706510512305634,16
0.06465587615966797,0.002531508271235001,0.0,0.0,1,l1,0.25,"(1, 1)","{'clf__C': 1, 'clf__penalty': 'l1', 'tfidf__max_df': 0.25, 'tfidf__ngram_range': (1, 1)}",,,,,,,,19
0.1204897403717041,0.011488236532935504,0.0,0.0,1,l1,0.25,"(1, 2)","{'clf__C': 1, 'clf__penalty': 'l1', 'tfidf__max_df': 0.25, 'tfidf__ngram_range': (1, 2)}",,,,,,,,19
0.07066178321838379,0.009649472901259318,0.0,0.0,1,l1,0.5,"(1, 1)","{'clf__C': 1, 'clf__penalty': 'l1', 'tfidf__max_df': 0.5, 'tfidf__ngram_range': (1, 1)}",,,,,,,,19
0.1332545757293701,0.013422720963966971,0.0,0.0,1,l1,0.5,"(1, 2)","{'clf__C': 1, 'clf__penalty': 'l1', 'tfidf__max_df': 0.5, 'tfidf__ngram_range': (1, 2)}",,,,,,,,19
0.06687378883361816,0.006009076298449056,0.0,0.0,1,l1,0.75,"(1, 1)","{'clf__C': 1, 'clf__penalty': 'l1', 'tfidf__max_df': 0.75, 'tfidf__ngram_range': (1, 1)}",,,,,,,,19
0.23521003723144532,0.19898470389462575,0.0,0.0,1,l1,0.75,"(1, 2)","{'clf__C': 1, 'clf__penalty': 'l1', 'tfidf__max_df': 0.75, 'tfidf__ngram_range': (1, 2)}",,,,,,,,19
1.0651244163513183,0.072421494790199,0.1120419979095459,0.012759980418529061,1,l2,0.25,"(1, 1)","{'clf__C': 1, 'clf__penalty': 'l2', 'tfidf__max_df': 0.25, 'tfidf__ngram_range': (1, 1)}",0.8796791443850267,0.8832442067736186,0.8734402852049911,0.8698752228163993,0.8849241748438894,0.878232606804785,0.005741043485043559,7
2.075435447692871,0.1328221530136747,0.1942309856414795,0.01821729714531081,1,l2,0.25,"(1, 2)","{'clf__C': 1, 'clf__penalty': 'l2', 'tfidf__max_df': 0.25, 'tfidf__ngram_range': (1, 2)}",0.8823529411764706,0.8832442067736186,0.8725490196078431,0.8672014260249554,0.8795718108831401,0.8769838808932056,0.006165716308051521,10
1.1886057376861572,0.0844402803732824,0.1370561122894287,0.031566902404641564,1,l2,0.5,"(1, 1)","{'clf__C': 1, 'clf__penalty': 'l2', 'tfidf__max_df': 0.5, 'tfidf__ngram_range': (1, 1)}",0.8796791443850267,0.8832442067736186,0.8734402852049911,0.8698752228163993,0.8849241748438894,0.878232606804785,0.005741043485043559,7
0.8575649261474609,0.49438339857800345,0.020098161697387696,0.0013469373372468811,1,l2,0.5,"(1, 2)","{'clf__C': 1, 'clf__penalty': 'l2', 'tfidf__max_df': 0.5, 'tfidf__ngram_range': (1, 2)}",0.8823529411764706,0.8832442067736186,0.8725490196078431,0.8672014260249554,0.8795718108831401,0.8769838808932056,0.006165716308051521,10
0.15244345664978026,0.029037711639730252,0.014283084869384765,0.000743919006926459,1,l2,0.75,"(1, 1)","{'clf__C': 1, 'clf__penalty': 'l2', 'tfidf__max_df': 0.75, 'tfidf__ngram_range': (1, 1)}",0.8796791443850267,0.8832442067736186,0.8734402852049911,0.8698752228163993,0.8849241748438894,0.878232606804785,0.005741043485043559,7
0.3083202838897705,0.022841999857832147,0.02479586601257324,0.001937883696843277,1,l2,0.75,"(1, 2)","{'clf__C': 1, 'clf__penalty': 'l2', 'tfidf__max_df': 0.75, 'tfidf__ngram_range': (1, 2)}",0.8823529411764706,0.8832442067736186,0.8725490196078431,0.8672014260249554,0.8795718108831401,0.8769838808932056,0.006165716308051521,10
0.06290016174316407,0.0020168927931902337,0.0,0.0,10,l1,0.25,"(1, 1)","{'clf__C': 10, 'clf__penalty': 'l1', 'tfidf__max_df': 0.25, 'tfidf__ngram_range': (1, 1)}",,,,,,,,19
0.13214235305786132,0.010586499464344592,0.0,0.0,10,l1,0.25,"(1, 2)","{'clf__C': 10, 'clf__penalty': 'l1', 'tfidf__max_df': 0.25, 'tfidf__ngram_range': (1, 2)}",,,,,,,,19
0.06902694702148438,0.001539252127702463,0.0,0.0,10,l1,0.5,"(1, 1)","{'clf__C': 10, 'clf__penalty': 'l1', 'tfidf__max_df': 0.5, 'tfidf__ngram_range': (1, 1)}",,,,,,,,19
0.12908635139465333,0.009788323128180886,0.0,0.0,10,l1,0.5,"(1, 2)","{'clf__C': 10, 'clf__penalty': 'l1', 'tfidf__max_df': 0.5, 'tfidf__ngram_range': (1, 2)}",,,,,,,,19
0.07199811935424805,0.005329138507733329,0.0,0.0,10,l1,0.75,"(1, 1)","{'clf__C': 10, 'clf__penalty': 'l1', 'tfidf__max_df': 0.75, 'tfidf__ngram_range': (1, 1)}",,,,,,,,19
0.14387550354003906,0.012396434054523174,0.0,0.0,10,l1,0.75,"(1, 2)","{'clf__C': 10, 'clf__penalty': 'l1', 'tfidf__max_df': 0.75, 'tfidf__ngram_range': (1, 2)}",,,,,,,,19
0.3189981937408447,0.05388680117128945,0.029949760437011717,0.004411732569499401,10,l2,0.25,"(1, 1)","{'clf__C': 10, 'clf__penalty': 'l2', 'tfidf__max_df': 0.25, 'tfidf__ngram_range': (1, 1)}",0.8761140819964349,0.8832442067736186,0.8654188948306596,0.8743315508021391,0.8956289027653881,0.8789475274336482,0.010090483533744633,4
0.6403557300567627,0.052317742742347226,0.04628152847290039,0.017514029359707316,10,l2,0.25,"(1, 2)","{'clf__C': 10, 'clf__penalty': 'l2', 'tfidf__max_df': 0.25, 'tfidf__ngram_range': (1, 2)}",0.8841354723707665,0.8912655971479501,0.8823529411764706,0.8743315508021391,0.8876003568242641,0.8839371836643182,0.005691077352157622,1
0.30013117790222166,0.03299227988942073,0.01883106231689453,0.005761792917921485,10,l2,0.5,"(1, 1)","{'clf__C': 10, 'clf__penalty': 'l2', 'tfidf__max_df': 0.5, 'tfidf__ngram_range': (1, 1)}",0.8761140819964349,0.8832442067736186,0.8654188948306596,0.8743315508021391,0.8956289027653881,0.8789475274336482,0.010090483533744633,4
1.6357892513275147,0.8582637790793113,0.2067126750946045,0.13177874782496055,10,l2,0.5,"(1, 2)","{'clf__C': 10, 'clf__penalty': 'l2', 'tfidf__max_df': 0.5, 'tfidf__ngram_range': (1, 2)}",0.8841354723707665,0.8912655971479501,0.8823529411764706,0.8743315508021391,0.8876003568242641,0.8839371836643182,0.005691077352157622,1
1.0174442291259767,0.6763101629000676,0.05156702995300293,0.06873012437157913,10,l2,0.75,"(1, 1)","{'clf__C': 10, 'clf__penalty': 'l2', 'tfidf__max_df': 0.75, 'tfidf__ngram_range': (1, 1)}",0.8761140819964349,0.8832442067736186,0.8654188948306596,0.8743315508021391,0.8956289027653881,0.8789475274336482,0.010090483533744633,4
0.5139176845550537,0.0366940168079911,0.04379916191101074,0.009345509407536721,10,l2,0.75,"(1, 2)","{'clf__C': 10, 'clf__penalty': 'l2', 'tfidf__max_df': 0.75, 'tfidf__ngram_range': (1, 2)}",0.8841354723707665,0.8912655971479501,0.8823529411764706,0.8743315508021391,0.8876003568242641,0.8839371836643182,0.005691077352157622,1
